# Generated at Thu Dec 20 2018 08:33:50 GMT+0100 (Central European Standard Time)
# URL: https://metaspace2020.eu/annotations?ds=2018-06-26_15h33m47s&page=1&sort=-msm
"group","datasetName","datasetId","formula","adduct","mz","msm","fdr","rhoSpatial","rhoSpectral","rhoChaos","moleculeNames","moleculeIds"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C10H7NO3","M+K","228.00571217166387","0.989107","0.05","0.997286","0.992804","0.998988","Kynurenic acid, 1-Nitronaphthalene-5,6-oxide, 1-Nitronaphthalene-7,8-oxide","HMDB0000715, HMDB0060331, HMDB0060332"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C10H7NO3","M+Na","212.03177493166376","0.984877","0.05","0.989601","0.995965","0.999258","Kynurenic acid, 1-Nitronaphthalene-5,6-oxide, 1-Nitronaphthalene-7,8-oxide","HMDB0000715, HMDB0060331, HMDB0060332"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C12H14N2","M+H","187.12293567766386","0.975603","0.05","0.981803","0.994929","0.99875","1,2,3,4-Tetrahydro-2-methyl-b-carboline, 1-Phenyl-5-propyl-1H-pyrazole, Detomidine","HMDB0029836, HMDB0037144, HMDB0041872"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C5H11N","M+H","86.09638657166526","0.957699","0.05","0.962408","0.995566","0.999538","Piperidine","HMDB0034301"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C9H7NO","M+H","146.06000106366383","0.945929","0.05","0.948884","0.997977","0.998907","1H-Indole-3-carboxaldehyde","HMDB0029737"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C11H11NO","M+H","174.09130119166386","0.911681","0.05","0.915542","0.997203","0.998576","4-Amino-2-methyl-1-naphthol, 1,2,5,6-Tetrahydro-4H-pyrrolo[3,2,1-ij]quinolin-4-one","HMDB0032887, HMDB0037113"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C12H16N2","M+H","189.13858574166377","0.903286","0.05","0.90787","0.996062","0.998884","Polycartine B, Dimethyltryptamine, 2-(3-Methylbutyl)-1H-pyrrolo[2,3-b]pyridine","HMDB0032926, HMDB0005973, HMDB0033961"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C10H7NO3","M+H","190.0498303036638","0.891244","0.05","0.89617","0.995289","0.999211","Kynurenic acid, 1-Nitronaphthalene-5,6-oxide, 1-Nitronaphthalene-7,8-oxide","HMDB0000715, HMDB0060331, HMDB0060332"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C12H12O7","M+Na","291.0474845616638","0.884964","0.05","0.892806","0.993494","0.997707","3-(6,7-dimethoxy-2H-1,3-benzodioxol-5-yl)oxirane-2-carboxylic acid, (2Z)-3-(6,7-dimethoxy-2H-1,3-benzodioxol-5-yl)-2-hydroxyprop-2-enoic acid","HMDB0128678, HMDB0128681"
"","24062018_VS_denseII_A_B_NEDC_9AA_CHCA_DHB_D","2018-06-26_15h33m47s","C13H14N2","M+H","199.12293567766386","0.884895","0.05","0.890964","0.994596","0.998584","Tacrine, 4,4'-Methylenedianiline","HMDB0014526, HMDB0041808"
